School Name,Longitude,Latitude,year
Poi Ching School,103.935246477199,1.35765122315688,1970-01-01 00:00:00.000001919
Maha Bodhi School,103.901298737042,1.32847086631012,1970-01-01 00:00:00.000001876
Victoria School,103.927980966639,1.3087130270751,1970-01-01 00:00:00.000001966
Changkat Changi Secondary School,103.953245525564,1.33950630072876,1970-01-01 00:00:00.000001966
INSEAD,103.786479257926,1.29975202317474,1970-01-01 00:00:00.000001952
Manjusri Secondary School,103.901719963831,1.32747123084846,1970-01-01 00:00:00.000001982
Naval Base Primary School,103.838794077233,1.41630663159387,1970-01-01 00:00:00.000001988
Jurong Primary School,103.698803732244,1.33917519796104,1970-01-01 00:00:00.000001986
Tampines Secondary School,103.944263709507,1.34926094811197,1970-01-01 00:00:00.000001986
Horizon Primary School,103.913404855665,1.399550034492,1970-01-01 00:00:00.000002012
Evergreen Primary School,103.794577787757,1.44415332824735,1970-01-01 00:00:00.000002001
Bedok Green Secondary School,103.935028383346,1.33451947288431,1970-01-01 00:00:00.000001962
Dunearn Secondary School,103.74472109107,1.36357900792871,1970-01-01 00:00:00.000001962
CHIJ Our Lady Queen of Peace,103.767412204602,1.366603668561,1970-01-01 00:00:00.000002000
Woodgrove Secondary School,103.79604758539,1.42831828137013,1970-01-01 00:00:00.000002000
Fuhua Primary School,103.736103745748,1.33650394789627,1970-01-01 00:00:00.000002001
Hougang Secondary School,103.882533963338,1.37764019332164,1970-01-01 00:00:00.000001956
Anglican High School,103.941853465631,1.33118107926966,1970-01-01 00:00:00.000001956
Tao Nan School,103.849026157822,1.2943321052493,1970-01-01 00:00:00.000001906
Chatsworth International School,103.83847265705,1.30254776207716,1970-01-01 00:00:00.000001879
St. Anthony's Canossian Secondary School,103.941977166932,1.33466313498855,1970-01-01 00:00:00.000001894
One World International School Singapore,103.694769257465,1.34761307060846,1970-01-01 00:00:00.000002008
Seng Kang Primary School,103.899767112047,1.38949740422462,1970-01-01 00:00:00.000001997
Hougang Primary School,103.880805274557,1.37738245231461,1970-01-01 00:00:00.000002000
Princess Elizabeth Primary School,103.740719208011,1.34919098857585,1970-01-01 00:00:00.000001994
Ngee Ann Secondary School,103.956747262496,1.35447525755806,1970-01-01 00:00:00.000001994
Townsville Primary School,103.853826048327,1.36003263746623,1970-01-01 00:00:00.000001983
Kong Hwa School,103.888352029067,1.31099674009193,1970-01-01 00:00:00.000001953
Cantonment Primary School,103.839962631748,1.27547252623201,1970-01-01 00:00:00.000002011
Singapore Management University,103.850566200283,1.29509045190873,1970-01-01 00:00:00.000001977
