School Name,Longitude,Latitude,year
Singapore Polytechnic,103.8722572,1.325515881,1954
Teck Ghee Primary School,103.8509571,1.365587821,1983
Ping Yi Secondary School,103.9207007,1.327016728,1960
Anderson Secondary School,103.8515541,1.374340017,1960
Peiying Primary School,103.8301432,1.417416276,1919
Nanyang Technological University,103.6872142,1.351542576,1956
Guangyang Primary School,103.8494532,1.345690115,1983
Shuqun Primary School,103.7215237,1.347653114,1946
Madrasah Al-Arabiah Al-Islamiah,103.8547067,1.337372812,1952
Bartley Secondary School,103.8828062,1.339954156,1952
ITE College West (Dover),103.9550508,1.334386914,1998
Woodlands Ring Secondary School,103.8001485,1.436488947,1947
Nan Chiau High School,103.8900044,1.388795825,1999
Junyuan Secondary School,103.9338862,1.353613153,1999
Pathlight School,103.8580109,1.363635176,2004
Stamford American International School,103.8697094,1.336974773,1999
Sembawang Secondary School,103.8168433,1.445315021,1999
St. Margaret's Primary School,103.8816248,1.324391503,1842
Radin Mas Primary School,103.8241883,1.274958236,1926
Anchor Green Primary School,103.8871654,1.390369987,2007
Punggol Primary School,103.9051564,1.405145826,1995
Ngee Ann Primary School,103.917463,1.305525059,1963
Jurong Secondary School,103.723953,1.330020322,1963
St. Anthony's Primary School,103.9412349,1.334725373,1879
Boon Lay Garden Primary School,103.7128584,1.342840138,1965
Whitley Secondary School,103.8425524,1.355052085,1965
Grace Orchard School,103.7651726,1.306142317,2006
Chung Cheng High School (Yishun),103.8373908,1.419226036,2000
Regent Secondary School,103.7510344,1.393279083,2000
ITE College West (Clementi),103.9550508,1.334386914,2010
Greendale Primary School,103.9123346,1.396481951,1994
Damai Secondary School,103.9270917,1.336927985,1927
Madrasah Aljunied Al-Islamiah,103.857697,1.304626003,1964
Commonwealth Secondary School,103.7456374,1.319203959,1892
Holy Innocents' High School,103.8963988,1.371545088,1892
Singapore School for the Deaf,103.8798311,1.307821629,1955
Kranji Secondary School,103.7411907,1.390051099,1977
Boon Lay Secondary School,103.7018915,1.342722163,1977
Unity Secondary School,103.7460209,1.400015241,2001
School Information System,103.8495515,1.297377324,2008
School of the Arts,103.8486874,1.299364804,2008
National University of Singapore,103.7703182,1.299447468,1905
Dazhong Primary School,103.7484721,1.359179745,#N/A
Yishun Primary School,103.8340871,1.43338603,1924
Kuo Chuan Presbyterian Secondary School,103.8549837,1.350171299,1924
Bukit View Primary School,103.7536664,1.345860548,1986
Zhonghua Primary School,103.8697125,1.360260725,1956
River Valley High School,103.7090222,1.344078011,1984
Peicai Secondary School,103.8700107,1.359515832,1984
Beacon Primary School,103.773632,1.383949362,2007
Woodlands Ring Primary School,103.7974357,1.434952293,2001
Gongshang Primary School,103.9491448,1.357116068,1920
ITE College Central (Yishun),103.9550508,1.334386914,2013
Changkat Primary School,103.9522739,1.339973347,1965
Institute of Materials Research and Engineering,103.7886692,1.298350625,1996
South View Primary School,103.7462758,1.381666644,1990
St. Andrew's Junior School,103.8651171,1.331402553,1862
Pei Tong Primary School,103.7675998,1.316197864,1948
Hwa Chong International School,103.8014795,1.32507541,2005
Zhenghua Secondary School,103.7655106,1.388365834,1963
Dunman Secondary School,103.9562139,1.360652583,1981
Bedok North Secondary School,103.9419772,1.334663135,1981
ITE College Central (Bishan),103.9550508,1.334386914,1989
Loyang Secondary School,103.9569446,1.366584172,1966
Yio Chu Kang Secondary School,103.842137,1.377975977,1966
Yumin Primary School,103.9505511,1.351315699,1933
St. Patrick's School,103.9176382,1.307883419,1933
Bukit Panjang Primary School,103.7693749,1.373621793,1887
Methodist Girls' School (Secondary),103.8851201,1.350967559,1887
Paya Lebar Methodist Girls' School (Primary),103.8849713,1.349472763,1986
Marymount Convent School,103.8400211,1.34036677,2001
Jurong West Secondary School,103.7020989,1.335256347,1933
CHIJ St. Nicholas Girls' School,103.8342533,1.373476879,1933
St. Anthony's Canossian Primary School,103.9412349,1.334725373,1879
Dover Court Preparatory School,103.7799689,1.30566223,1987
Riverside Secondary School,103.7883082,1.441101571,1987
Wellington Primary School,103.8223037,1.451920192,1993
Jurongville Secondary School,103.7289077,1.351288628,1993
Assumption Pathway School,103.7659591,1.369670704,1938
ITE College Central (MacPherson),103.9550508,1.334386914,1953
Beatty Secondary School,103.8522808,1.341790285,1953
DPS International School Singapore,103.8834679,1.35444281,1854
CHIJ Secondary (Toa Payoh),103.8432716,1.332460799,1854
LASALLE College of the Arts,103.8515554,1.302855135,1986
Yishun Secondary School,103.8287643,1.428133243,1986
North Vista Primary School,103.8959619,1.38282243,2023
Greenridge Secondary School,103.7639989,1.375600053,1965
New Town Secondary School,103.7731886,1.3097759,1986
Fuchun Secondary School,103.7776257,1.430704529,1978
Yuan Ching Secondary School,103.7208987,1.342006358,1978
Mayflower Primary School,103.8431658,1.376398733,1930
CHIJ Katong Convent,103.9171444,1.30644268,2000
Canberra Secondary School,103.8142036,1.453190863,2000
Anderson Primary School,103.8413921,1.384264294,2000
Pasir Ris Crest Secondary School,103.9597282,1.372840601,2000
Fernvale Primary School,103.8744455,1.39030228,1984
Victoria Junior College,103.9199827,1.306701742,1984
Elias Park Primary School,103.9451281,1.374512694,1997
North Spring Primary School,103.9032027,1.387061465,2000
Bukit Timah Primary School,103.7668553,1.337749862,2001
Damai Primary School,103.9212702,1.335461068,1984
Gan Eng Seng Primary School,103.8155474,1.285595165,2002
SIM University,103.6827298,1.348233457,1823
Raffles Institution,103.8442387,1.346106991,1823
Qifa Primary School,103.7567433,1.313251139,1985
Pasir Ris Secondary School,103.9597282,1.372840601,1964
Tanglin Secondary School,103.7581584,1.309701692,1964
ITE College Central (Tampines),103.9550508,1.334386914,2012
Xingnan Primary School,103.6875885,1.342706397,1852
St. Joseph's Institution,103.8456119,1.31772861,1957
Punggol Secondary School,103.9092137,1.402057384,1957
Xinghua Primary School,103.8904729,1.357908936,1930
Haig Girls' School,103.9029026,1.311943443,1951
Yangzheng Primary School,103.8685955,1.348645758,1905
ITE College Central (Bedok),103.9550508,1.334386914,1956
Crescent Girls' School,103.8175445,1.293319471,1956
Tanjong Katong Primary School,103.9000927,1.305240843,2001
West Grove Primary School,103.6992864,1.344879056,2003
CHIJ (Katong) Primary,103.9111056,1.306485353,1952
Christ Church Secondary School,103.7934511,1.426567809,1952
Northland Primary School,103.8409284,1.420969899,1988
Innova Primary School,103.7906075,1.428967007,2006
Greendale Secondary School,103.9117001,1.396960199,1980
Temasek Secondary School,103.9475641,1.315916732,1980
Fairfield Methodist School (Primary),103.7854383,1.300540825,1888
Edgefield Primary School,103.9074305,1.40029783,1992
Chua Chu Kang Secondary School,103.7518783,1.383190293,1992
River Valley Primary School,103.8358152,1.294223285,1985
Xishan Primary School,103.8377553,1.433471869,1862
St. Andrew's Secondary School,103.8662491,1.33069361,1862
Huamin Primary School,103.8442097,1.426958863,1945
Mee Toh School,103.9085895,1.394618454,1979
Ang Mo Kio Secondary School,103.842155,1.367337102,1979
Compassvale Primary School,103.8978122,1.394445296,1953
Assumption English School,103.7666875,1.368381607,1953
Yuying Secondary School,103.8901948,1.357135953,1985
Casuarina Primary School,103.9570203,1.372460639,1957
Naval Base Secondary School,103.8310504,1.419378816,1987
Guangyang Secondary School,103.8502089,1.34440856,1987
Jing Shan Primary School,103.8521322,1.37223291,1944
MINDS Towner Gardens School,103.9133033,1.326201763,1935
Catholic High School,103.8448747,1.354723075,2000
Compassvale Secondary School,103.8998472,1.39614084,2000
West View Primary School,103.7602734,1.383785465,1998
St. Gabriel's Primary School,103.862561,1.349471927,1986
Bukit View Secondary School,103.7522266,1.345733055,1986
Pioneer Primary School,103.6877696,1.339022647,1994
Hong Kah Secondary School,103.7270839,1.351666671,1947
Madrasah Al-Irsyad Al-Islamiah,103.8519078,1.342645249,1986
Yishun Town Secondary School,103.8380942,1.432321567,1986
Queenstown Primary School,103.8075486,1.29559365,1958
Maris Stella High School,103.8778525,1.341394734,1958
Canberra Primary School,103.8158589,1.451250244,2000
St. Joseph's Institution Junior,103.8456333,1.317814761,1852
St. Hilda's Primary School,103.9370071,1.34938565,1934
Teck Whye Primary School,103.7539246,1.383886605,1959
Stamford Primary School,103.8574535,1.303456385,1951
Methodist Girls' School (Primary),103.8849713,1.349472763,1887
CHIJ Primary (Toa Payoh),103.8418473,1.332752647,1987
Zhonghua Secondary School,103.8694305,1.348407208,1911
Yusof Ishak Secondary School,103.8962751,1.406937025,1899
Singapore Chinese Girls' School,103.8277447,1.320807252,1999
Orchid Park Secondary School,103.8378592,1.415320328,1999
Holy Innocents' Primary School,103.8941149,1.366938309,1985
Saint Joseph's Institution International,103.8398031,1.332527312,1888
Fairfield Methodist Secondary School,103.7840996,1.301633744,1924
Geylang Methodist School (Secondary),103.8826611,1.317649005,2000
Fuhua Secondary School,103.7265209,1.347014089,2000
Rosyth School,103.8750015,1.372890675,1956
Pei Chun Public School,103.8555856,1.337373587,1933
Greenridge Primary School,103.7677945,1.385889219,1885
Gan Eng Seng School,103.8237337,1.289071145,1956
North Vista Secondary School,103.8991888,1.381131285,1956
Woodlands Primary School,103.7915705,1.436551086,1978
Singapore Chinese Girls' Primary School,103.8277447,1.320807252,1899
Bedok Green Primary School,103.937879,1.323445933,2002
Yew Tee Primary School,103.750986,1.396766009,1957
Cedar Girls' Secondary School,103.8739331,1.333758002,1957
Ai Tong School,103.8330203,1.360583434,1912
Admiralty Primary School,103.8002137,1.442549639,1999
Blangah Rise Primary School,103.8086285,1.276120479,2005
Hwa Chong Institution,103.8057044,1.324947793,1974
Qihua Primary School,103.7883398,1.442035966,1917
Nanyang Girls' High School,103.802421,1.330583267,1917
Tampines Primary School,103.9440047,1.349778708,1986
Bukit Batok Secondary School,103.7408737,1.348491111,1986
Metta School,103.9573359,1.34678219,2001
Lakeside Primary School,103.7180895,1.338203977,2010
School of Science and Technology,103.7740115,1.312928106,1947
Chung Cheng High School (Main),103.8916532,1.305091548,1982
Woodlands Secondary School,103.8001485,1.436488947,1906
Outram Secondary School,103.8371273,1.286513575,2005
Pei Hwa Secondary School,103.8784617,1.39037505,2005
Ang Mo Kio Primary School,103.8396309,1.369321766,1956
Hua Yi Secondary School,103.7218323,1.352343655,1956
Chongfu School,103.8393092,1.438395629,1915
Tampines North Primary School,103.9487689,1.36048786,1994
Anglo-Chinese School (Primary),103.8356097,1.318370545,1956
Queenstown Secondary School,103.813191,1.293521268,1999
Seng Kang Secondary School,103.898365,1.386596831,1999
Keming Primary School,103.7564494,1.3455285,1953
St. Gabriel's Secondary School,103.8760942,1.346487987,1953
Eunos Primary School,103.9045413,1.324476299,1985
Bendemeer Primary School,103.8653513,1.322208485,1978
Pasir Ris Primary School,103.9628072,1.372418702,1993
Pei Hwa Presbyterian Primary School,103.7761064,1.338056346,2000
Northbrooks Secondary School,103.8451473,1.42081285,2000
Umar Pulavar Tamil Language Centre,103.8589189,1.314370127,1946
Kranji Primary School,103.7473627,1.393560505,#N/A
CHIJ Our Lady of Good Counsel,103.8641521,1.357994949,1960
Nanyang Academy of Fine Arts,103.8511859,1.299463332,1938
Corporation Primary School,103.7075937,1.350997799,1976
Singapore Institute of Management,103.8455289,1.328094965,1964
