Station Code,Station Name,Longitude,Latitude,Opening Date,Station Type
NE13,KOVAN,103.885064856353,1.36017917065237,2003-06-20,MRT
NS7,KRANJI,103.762137459497,1.42508698073648,1996-02-10,MRT
SW3,KUPANG,103.881256222255,1.39821283031379,2015-06-27,LRT
CC27,LABRADOR PARK,103.802744505566,1.2722270505362,2011-10-08,MRT
EW26,LAKESIDE,103.720949087456,1.34425911493819,1988-11-05,MRT
EW11,LAVENDER,103.862767633888,1.30737781747063,1989-11-04,MRT
SW6,LAYAR,103.880029600546,1.39207983659997,2005-01-29,LRT
TE5,LENTOR,103.835743809669,1.38550657972169,2021-08-28,MRT
NE7 | DT12,LITTLE INDIA,103.849647059738,1.30680019696174,2003-06-20,MRT
CC14,LORONG CHUAN,103.863945738773,1.35163927757418,2009-05-28,MRT
CC10 | DT26,MACPHERSON,103.889298600376,1.32615024457361,2010-04-17,MRT
NS27 | CE2 | TE20,MARINA BAY,103.854604975361,1.27631114381584,1989-11-04,MRT
NS28,MARINA SOUTH PIER,103.862447515736,1.27102703612006,2014-11-23,MRT
NS8,MARSILING,103.774074641403,1.43252114855026,1996-02-10,MRT
CC16,MARYMOUNT,103.839423132332,1.348707263451,2009-05-28,MRT
DT25,MATTAR,103.883247509542,1.32687671501334,2017-10-21,MRT
TE18,MAXWELL,103.843883670633,1.28053329842878,2022-11-13,MRT
TE6,MAYFLOWER,103.836567766945,1.37146318831015,2021-08-28,MRT
PE2,MERIDIAN,103.908950224489,1.3969120498774,2005-01-29,LRT
CC7,MOUNTBATTEN,103.882528081052,1.30620190525331,2010-04-17,MRT
TE12,NAPIER,103.818956796815,1.30678223364785,2022-11-13,MRT
NS21 | DT11,NEWTON,103.837984594021,1.3123189224097,1987-12-12,MRT
PW5,NIBONG,103.900339452055,1.41185447744238,2014-06-29,LRT
CC5,NICOLL HIGHWAY,103.863977721184,1.29956843029404,2010-04-17,MRT
NS20,NOVENA,103.843825618748,1.32044079120154,1987-12-12,MRT
PE6,OASIS,103.912727352412,1.40228667971123,2007-06-15,LRT
CC23,ONE-NORTH,103.787412789536,1.29968953488969,2011-10-08,MRT
NS22 | TE14,ORCHARD,103.823868523249,1.30242224836722,1987-12-12,MRT
TE13,ORCHARD BOULEVARD,103.82365038919,1.30362307278619,2022-11-13,MRT
EW16 | NE3 | TE17,OUTRAM PARK,103.839513521005,1.27973970679335,1987-12-12,MRT
CC26,PASIR PANJANG,103.791350313288,1.27621352233766,2011-10-08,MRT
EW1,PASIR RIS,103.949265083922,1.37300805046319,1989-12-16,MRT
EW8 | CC9,PAYA LEBAR,103.8923648823,1.31719911972353,1989-11-04,MRT
BP8,PENDING,103.771261175571,1.37613574334988,1999-11-06,LRT
BP7,PETIR,103.766645782497,1.37777204259082,1999-11-06,LRT
BP5,PHOENIX,103.757995558346,1.37861545104083,1999-11-06,LRT
EW28,PIONEER,103.697321608474,1.33758701106708,2009-02-28,MRT
NE10,POTONG PASIR,103.869057877586,1.3318797140041,2003-06-20,MRT
CC4 | DT15,PROMENADE,103.860350000188,1.29399798636232,2010-04-17,MRT
NE17 | PTC,PUNGGOL,103.910166388177,1.41492733388605,2003-06-20,MRT
